outcome_type,family,subfamily,tumor_type,endpoint,source,n,positive,negative,supported_by_n,primary_consensus_class,grouped_evaluable_representations,primary_crossings_evaluable,primary_crossings_retained,grouped_crossings_n,complete_primary_retention,any_primary_retention,median_grouped_minus_matched_effect,sample_size_maturity,tss_retention_class,internal_robustness_class,grouped_job_id,n_codes,requested_outer_folds,realized_outer_folds,outer_test_n_min,outer_test_n_max,outer_training_n_min,outer_test_codes_min,outer_training_codes_min,outer_test_positive_min,outer_test_negative_min,outer_training_positive_min,outer_training_negative_min,single_class_outer_test_folds,any_single_class_outer_test_fold,inner_folds_realized_min,inner_folds_realized_max,inner_validation_n_min,inner_training_n_min,inner_validation_codes_min,inner_training_codes_min,inner_validation_positive_min,inner_validation_negative_min,inner_training_positive_min,inner_training_negative_min,single_class_inner_validation_folds,any_single_class_inner_validation_fold,grouped_fold_adequacy_flag,any_single_class_inner_training_fold,grouped_fold_adequacy_reasons,adequacy_flag_definition,metric_construction,deprecated_r1_r4_uses_flagged_grouped_result
binary,oncogenic_pathway,oncogenic_pathway,KIRP,WNT,SanchezVega2018_TableS4,255,24,231,2,exactly two,3,2,2,2,TRUE,TRUE,0.0205627705627706,FALSE,complete retention,R4: limited or cohort-structure-sensitive internal evidence,217,31,5,5,36,83,172,5,24,1,34,11,161,0,FALSE,5,5,11,118,4,18,0,11,7,110,3,TRUE,sparse grouped folds,FALSE,outer_training_minority_below_20;single_class_inner_validation_fold;inner_training_minority_below_20,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",TRUE
binary,oncogenic_pathway,oncogenic_pathway,LGG,Cell Cycle,SanchezVega2018_TableS4,476,195,281,3,all three,3,3,2,2,FALSE,TRUE,-0.0324664659184232,TRUE,partial retention,R3: mature with partial or single-representation retention,218,25,5,5,35,182,294,4,19,12,23,127,167,0,FALSE,5,5,14,156,3,15,7,7,60,96,0,FALSE,no audit trigger,FALSE,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",FALSE
binary,oncogenic_pathway,oncogenic_pathway,LGG,HIPPO,SanchezVega2018_TableS4,481,379,102,3,all three,3,3,3,3,TRUE,TRUE,-0.0122872367944539,TRUE,complete retention,"R1: all-three, mature, complete grouped retention",219,25,5,5,39,165,316,5,20,35,4,254,62,0,FALSE,5,5,21,206,3,15,19,1,171,34,0,FALSE,no audit trigger,FALSE,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",FALSE
binary,oncogenic_pathway,oncogenic_pathway,LGG,RTK RAS,SanchezVega2018_TableS4,481,135,346,3,all three,3,3,3,3,TRUE,TRUE,-0.00824234639263544,TRUE,complete retention,"R1: all-three, mature, complete grouped retention",220,25,5,5,36,190,291,4,19,9,27,77,214,0,FALSE,5,5,11,168,3,15,2,9,39,129,0,FALSE,no audit trigger,FALSE,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",FALSE
binary,oncogenic_pathway,oncogenic_pathway,LGG,TGF-Beta,SanchezVega2018_TableS4,481,130,351,3,all three,3,3,3,3,TRUE,TRUE,0.00758273065965365,TRUE,complete retention,"R1: all-three, mature, complete grouped retention",221,25,5,5,16,195,286,4,19,7,9,94,192,0,FALSE,5,5,20,184,3,14,6,11,60,119,0,FALSE,no audit trigger,FALSE,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",FALSE
binary,oncogenic_pathway,oncogenic_pathway,LGG,TP53,SanchezVega2018_TableS4,481,248,233,3,all three,3,3,3,3,TRUE,TRUE,-0.0105392496192718,TRUE,complete retention,"R1: all-three, mature, complete grouped retention",222,25,5,5,51,154,327,4,19,22,29,167,160,0,FALSE,5,5,9,189,3,15,8,1,97,92,0,FALSE,no audit trigger,FALSE,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",FALSE
binary,oncogenic_pathway,oncogenic_pathway,LGG,WNT,SanchezVega2018_TableS4,481,131,350,3,all three,3,3,3,3,TRUE,TRUE,-0.0247546346782989,TRUE,complete retention,"R1: all-three, mature, complete grouped retention",223,25,5,5,38,180,301,4,19,9,24,85,216,0,FALSE,5,5,10,166,3,15,3,6,49,117,0,FALSE,no audit trigger,FALSE,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",FALSE
binary,oncogenic_pathway,oncogenic_pathway,LIHC,Cell Cycle,SanchezVega2018_TableS4,333,229,104,3,all three,3,3,2,2,FALSE,TRUE,-0.00822976150487065,TRUE,partial retention,R3: mature with partial or single-representation retention,224,32,5,5,31,162,171,6,25,22,8,122,49,0,FALSE,5,5,8,119,5,20,5,3,88,29,0,FALSE,no audit trigger,FALSE,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",FALSE
binary,oncogenic_pathway,oncogenic_pathway,LIHC,MYC,SanchezVega2018_TableS4,333,60,273,1,representation specific,3,1,0,0,FALSE,FALSE,0.0126373626373627,TRUE,no retention,R4: limited or cohort-structure-sensitive internal evidence,225,32,5,5,27,154,179,6,25,3,24,34,145,0,FALSE,5,5,12,122,5,20,2,10,22,98,0,FALSE,no audit trigger,FALSE,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",FALSE
binary,oncogenic_pathway,oncogenic_pathway,LIHC,RTK RAS,SanchezVega2018_TableS4,333,74,259,1,representation specific,3,1,0,0,FALSE,FALSE,0.0358969007617657,TRUE,no retention,R4: limited or cohort-structure-sensitive internal evidence,226,32,5,5,36,152,181,6,24,9,26,43,138,0,FALSE,5,5,12,121,4,19,1,11,24,96,0,FALSE,no audit trigger,FALSE,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",FALSE
binary,oncogenic_pathway,oncogenic_pathway,LIHC,TP53,SanchezVega2018_TableS4,333,126,207,3,all three,3,3,3,3,TRUE,TRUE,0.033011272141707,TRUE,complete retention,"R1: all-three, mature, complete grouped retention",227,32,5,5,23,162,171,5,25,9,14,70,101,0,FALSE,5,5,11,107,5,20,5,6,42,60,0,FALSE,no audit trigger,FALSE,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",FALSE
binary,oncogenic_pathway,oncogenic_pathway,LIHC,WNT,SanchezVega2018_TableS4,333,145,188,1,representation specific,3,1,0,0,FALSE,FALSE,-0.0181217901687454,TRUE,no retention,R4: limited or cohort-structure-sensitive internal evidence,228,32,5,5,9,200,133,5,25,2,7,50,83,0,FALSE,5,5,7,86,4,19,2,4,28,57,0,FALSE,sparse grouped folds,FALSE,outer_test_n_below_10,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",TRUE
binary,oncogenic_pathway,oncogenic_pathway,LUAD,Cell Cycle,SanchezVega2018_TableS4,426,252,174,2,exactly two,3,2,1,1,FALSE,TRUE,-0.0219622331691297,TRUE,partial retention,R3: mature with partial or single-representation retention,229,33,5,5,62,126,300,5,26,37,25,170,130,0,FALSE,5,5,24,184,4,20,13,10,98,84,0,FALSE,no audit trigger,FALSE,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",FALSE
binary,oncogenic_pathway,oncogenic_pathway,LUAD,NRF2,SanchezVega2018_TableS4,451,63,388,2,exactly two,3,2,2,3,TRUE,TRUE,0.0396416298478154,TRUE,complete retention,"R2: multi-representation, mature, complete grouped retention",230,33,5,5,45,130,321,6,26,5,40,45,276,0,FALSE,5,5,23,209,4,20,3,20,28,177,0,FALSE,no audit trigger,FALSE,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",FALSE
binary,oncogenic_pathway,oncogenic_pathway,LUAD,RTK RAS,SanchezVega2018_TableS4,451,338,113,1,representation specific,3,1,0,0,FALSE,FALSE,0.0022516625648008,TRUE,no retention,R4: limited or cohort-structure-sensitive internal evidence,231,33,5,5,70,152,299,6,25,48,17,219,80,0,FALSE,5,5,25,197,4,19,17,5,142,51,0,FALSE,no audit trigger,FALSE,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",FALSE
binary,oncogenic_pathway,oncogenic_pathway,LUAD,TGF-Beta,SanchezVega2018_TableS4,451,45,406,1,representation specific,3,1,1,1,TRUE,TRUE,0.00158730158730158,FALSE,complete retention,R4: limited or cohort-structure-sensitive internal evidence,232,33,5,5,41,140,311,5,26,4,37,31,275,0,FALSE,5,5,26,215,4,20,3,23,18,197,0,FALSE,sparse grouped folds,FALSE,inner_training_minority_below_20,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",TRUE
binary,oncogenic_pathway,oncogenic_pathway,LUAD,TP53,SanchezVega2018_TableS4,451,274,177,3,all three,3,3,3,3,TRUE,TRUE,-0.00911377788774792,TRUE,complete retention,"R1: all-three, mature, complete grouped retention",233,33,5,5,57,130,321,6,25,32,22,191,130,0,FALSE,5,5,20,211,4,19,8,9,124,87,0,FALSE,no audit trigger,FALSE,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",FALSE
binary,oncogenic_pathway,oncogenic_pathway,LUSC,NRF2,SanchezVega2018_TableS4,442,109,333,3,all three,3,3,1,1,FALSE,TRUE,-0.0255944017411908,TRUE,partial retention,R3: mature with partial or single-representation retention,234,35,5,5,45,143,299,6,27,11,34,78,219,0,FALSE,5,5,16,188,5,20,5,10,56,132,0,FALSE,no audit trigger,FALSE,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",FALSE
binary,oncogenic_pathway,oncogenic_pathway,LUSC,PI3K,SanchezVega2018_TableS4,442,305,137,1,representation specific,3,1,1,1,TRUE,TRUE,-0.0298193131506521,TRUE,complete retention,R3: mature with partial or single-representation retention,235,35,5,5,41,117,325,6,27,27,14,217,96,0,FALSE,5,5,11,233,4,21,8,3,157,65,0,FALSE,no audit trigger,FALSE,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",FALSE
binary,oncogenic_pathway,oncogenic_pathway,MESO,Cell Cycle,SanchezVega2018_TableS4,70,36,34,2,exactly two,3,2,1,1,FALSE,TRUE,0.0473856209150327,FALSE,partial retention,R4: limited or cohort-structure-sensitive internal evidence,236,13,5,5,7,23,47,2,10,5,2,26,21,0,FALSE,5,5,1,32,1,7,1,0,16,12,3,TRUE,sparse grouped folds,FALSE,outer_test_n_below_10;single_class_inner_validation_fold;inner_training_minority_below_20,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",TRUE
binary,oncogenic_pathway,oncogenic_pathway,PCPG,Cell Cycle,SanchezVega2018_TableS4,155,23,132,3,all three,3,3,1,1,FALSE,TRUE,-0.000988142292490113,FALSE,partial retention,R4: limited or cohort-structure-sensitive internal evidence,237,17,5,5,11,47,108,3,13,2,9,15,92,0,FALSE,5,5,4,61,2,9,0,4,4,55,8,TRUE,sparse grouped folds,FALSE,outer_training_minority_below_20;single_class_inner_validation_fold;inner_training_minority_below_20,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",TRUE
binary,oncogenic_pathway,oncogenic_pathway,PCPG,RTK RAS,SanchezVega2018_TableS4,158,52,106,3,all three,3,3,3,3,TRUE,TRUE,0.0324746008708273,TRUE,complete retention,"R1: all-three, mature, complete grouped retention",238,17,5,5,6,93,65,3,12,2,4,25,40,0,FALSE,5,5,2,42,1,9,0,1,17,24,1,TRUE,sparse grouped folds,FALSE,outer_test_n_below_10;single_class_inner_validation_fold;inner_training_minority_below_20,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",TRUE
binary,oncogenic_pathway,oncogenic_pathway,PRAD,MYC,SanchezVega2018_TableS4,359,37,322,1,representation specific,3,1,1,2,TRUE,TRUE,0.0348329696155784,FALSE,complete retention,R4: limited or cohort-structure-sensitive internal evidence,239,26,5,5,18,94,265,4,20,1,17,24,241,0,FALSE,5,5,3,136,3,15,0,3,13,123,1,TRUE,sparse grouped folds,FALSE,single_class_inner_validation_fold;inner_training_minority_below_20,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",TRUE
binary,oncogenic_pathway,oncogenic_pathway,PRAD,NOTCH,SanchezVega2018_TableS4,359,49,310,1,representation specific,3,1,0,0,FALSE,FALSE,-0.00381830151415408,FALSE,no retention,R4: limited or cohort-structure-sensitive internal evidence,240,26,5,5,15,115,244,5,20,4,11,33,211,0,FALSE,5,5,11,150,3,15,2,8,20,130,0,FALSE,no audit trigger,FALSE,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",FALSE
binary,oncogenic_pathway,oncogenic_pathway,PRAD,PI3K,SanchezVega2018_TableS4,359,121,238,1,representation specific,3,1,1,1,TRUE,TRUE,0.0358705465657337,TRUE,complete retention,R3: mature with partial or single-representation retention,241,26,5,5,30,134,225,4,20,6,23,72,153,0,FALSE,5,5,10,152,4,16,1,7,48,104,0,FALSE,no audit trigger,FALSE,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",FALSE
binary,oncogenic_pathway,oncogenic_pathway,PRAD,WNT,SanchezVega2018_TableS4,359,129,230,2,exactly two,3,2,2,2,TRUE,TRUE,0.0334007414897203,TRUE,complete retention,"R2: multi-representation, mature, complete grouped retention",242,26,5,5,25,137,222,5,20,9,16,85,127,0,FALSE,5,5,8,141,3,15,3,5,54,76,0,FALSE,no audit trigger,FALSE,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",FALSE
binary,oncogenic_pathway,oncogenic_pathway,READ,Cell Cycle,SanchezVega2018_TableS4,80,34,46,2,exactly two,3,2,0,0,FALSE,FALSE,-0.135549872122762,FALSE,no retention,R4: limited or cohort-structure-sensitive internal evidence,243,12,5,5,6,27,53,2,8,2,2,19,33,0,FALSE,4,5,3,32,2,6,1,2,11,21,0,FALSE,sparse grouped folds,FALSE,outer_test_n_below_10;outer_training_minority_below_20;inner_training_minority_below_20,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",TRUE
binary,oncogenic_pathway,oncogenic_pathway,READ,NOTCH,SanchezVega2018_TableS4,106,28,78,3,all three,3,3,1,1,FALSE,TRUE,-0.00686813186813184,FALSE,partial retention,R4: limited or cohort-structure-sensitive internal evidence,244,12,5,5,8,40,66,1,9,2,5,13,53,0,FALSE,5,5,1,36,1,6,0,1,7,27,5,TRUE,sparse grouped folds,FALSE,outer_test_n_below_10;outer_training_minority_below_20;single_class_inner_validation_fold;inner_training_minority_below_20,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",TRUE
binary,oncogenic_pathway,oncogenic_pathway,READ,RTK RAS,SanchezVega2018_TableS4,106,75,31,1,representation specific,3,1,0,1,FALSE,FALSE,0.0094623655913979,FALSE,no retention,R4: limited or cohort-structure-sensitive internal evidence,245,12,5,5,1,42,64,1,9,1,0,44,19,1,TRUE,5,5,1,38,1,6,1,0,26,10,6,TRUE,sparse grouped folds,FALSE,outer_test_n_below_10;single_class_outer_test_fold;outer_training_minority_below_20;single_class_inner_validation_fold;inner_training_minority_below_20,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",TRUE
binary,oncogenic_pathway,oncogenic_pathway,READ,TGF-Beta,SanchezVega2018_TableS4,106,27,79,3,all three,3,3,1,1,FALSE,TRUE,0.148616971401782,FALSE,partial retention,R4: limited or cohort-structure-sensitive internal evidence,246,12,5,5,3,60,46,2,8,0,3,9,37,1,TRUE,5,5,2,28,1,6,0,2,4,24,4,TRUE,sparse grouped folds,FALSE,outer_test_n_below_10;single_class_outer_test_fold;outer_training_minority_below_20;single_class_inner_validation_fold;inner_training_minority_below_20,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",TRUE
binary,oncogenic_pathway,oncogenic_pathway,SARC,Cell Cycle,SanchezVega2018_TableS4,222,145,77,2,exactly two,3,2,1,1,FALSE,TRUE,0.0523063143752799,TRUE,partial retention,R3: mature with partial or single-representation retention,247,31,5,5,14,123,99,6,24,7,6,59,40,0,FALSE,5,5,8,56,4,18,6,2,33,23,0,FALSE,no audit trigger,FALSE,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",FALSE
binary,oncogenic_pathway,oncogenic_pathway,SARC,HIPPO,SanchezVega2018_TableS4,222,25,197,2,exactly two,3,2,1,1,FALSE,TRUE,0.101116751269036,FALSE,partial retention,R4: limited or cohort-structure-sensitive internal evidence,248,31,5,5,11,121,101,6,24,1,10,11,90,0,FALSE,5,5,7,63,4,19,0,7,6,57,3,TRUE,sparse grouped folds,FALSE,outer_training_minority_below_20;single_class_inner_validation_fold;inner_training_minority_below_20,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",TRUE
binary,oncogenic_pathway,oncogenic_pathway,SARC,RTK RAS,SanchezVega2018_TableS4,222,86,136,3,all three,3,3,0,0,FALSE,FALSE,-0.0355677154582764,TRUE,no retention,R4: limited or cohort-structure-sensitive internal evidence,249,31,5,5,15,119,103,6,24,6,9,38,65,0,FALSE,5,5,8,60,4,19,2,5,23,37,0,FALSE,no audit trigger,FALSE,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",FALSE
binary,oncogenic_pathway,oncogenic_pathway,SARC,TP53,SanchezVega2018_TableS4,222,146,76,2,exactly two,3,2,0,0,FALSE,FALSE,0.0126171593366978,TRUE,no retention,R4: limited or cohort-structure-sensitive internal evidence,250,31,5,5,14,120,102,6,24,7,5,64,38,0,FALSE,5,5,7,66,4,18,3,1,40,20,0,FALSE,no audit trigger,FALSE,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",FALSE
binary,oncogenic_pathway,oncogenic_pathway,STAD,Cell Cycle,SanchezVega2018_TableS4,311,214,97,2,exactly two,3,2,2,3,TRUE,TRUE,0.0117545042875036,TRUE,complete retention,"R2: multi-representation, mature, complete grouped retention",251,21,5,5,9,115,196,4,16,6,3,142,54,0,FALSE,5,5,3,85,2,12,3,0,57,28,1,TRUE,sparse grouped folds,FALSE,outer_test_n_below_10;single_class_inner_validation_fold,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",TRUE
binary,oncogenic_pathway,oncogenic_pathway,STAD,HIPPO,SanchezVega2018_TableS4,321,66,255,3,all three,3,3,2,2,FALSE,TRUE,-0.0342840166369578,TRUE,partial retention,R3: mature with partial or single-representation retention,252,21,5,5,6,143,178,3,16,0,6,34,144,1,TRUE,5,5,5,69,2,12,0,5,13,56,1,TRUE,sparse grouped folds,FALSE,outer_test_n_below_10;single_class_outer_test_fold;single_class_inner_validation_fold;inner_training_minority_below_20,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",TRUE
binary,oncogenic_pathway,oncogenic_pathway,STAD,NOTCH,SanchezVega2018_TableS4,321,123,198,3,all three,3,3,2,2,FALSE,TRUE,-0.0221729490022173,TRUE,partial retention,R3: mature with partial or single-representation retention,253,21,5,5,8,120,201,3,16,3,5,79,122,0,FALSE,5,5,3,107,3,12,1,2,49,58,0,FALSE,sparse grouped folds,FALSE,outer_test_n_below_10,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",TRUE
binary,oncogenic_pathway,oncogenic_pathway,STAD,PI3K,SanchezVega2018_TableS4,321,130,191,2,exactly two,3,2,1,1,FALSE,TRUE,-0.00293999194522754,TRUE,partial retention,R3: mature with partial or single-representation retention,254,21,5,5,23,131,190,4,16,9,14,77,113,0,FALSE,5,5,3,80,2,12,1,1,27,53,0,FALSE,no audit trigger,FALSE,none,"Descriptive audit trigger: fewer than five realized outer folds, outer test n<10, a single-class binary outer test, inner validation or inner training fold, or fewer than 20 minority-class patients in any binary outer/inner training fit; not an exclusion or validity threshold.","All outer held-out patient predictions pooled once; metrics calculated on pooled OOF predictions, not averaged fold-specific metrics.",FALSE
